english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
paste text above the first email,첫 번째 이메일 위에 텍스트 붙여넣기,paste,text,NONE,above,first email,NONE,"{""text"": ""paste text above the first email"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
start context menu underneath the search,search 아래에  menu,open,menu,NONE,below,search,NONE,"{""text"": ""start context menu underneath the search"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
long-press purple text,보라색 텍스트 long-press,long-press,text,purple,NONE,NONE,NONE,"{""text"": ""long-press purple text"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""purple"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy the 3rd red text to the left of the first email,첫 번째 이메일 왼쪽에 3번째 빨간색 텍스트 복사,copy,text,red,left_of,first email,3rd,"{""text"": ""copy the 3rd red text to the left of the first email"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""3rd""}}",train
long-press button,버튼 long-press,long-press,button,NONE,NONE,NONE,NONE,"{""text"": ""long-press button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll down to the 2nd text to the left of the address,주소 왼쪽에 아래로 스크롤하여 2번째 텍스트 이동,scroll,text,NONE,left_of,address,2nd,"{""text"": ""scroll down to the 2nd text to the left of the address"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""2nd""}}",train
click on blue image to the left of the profile,프로필 왼쪽에 파란색 이미지 클릭,click,image,blue,left_of,profile,NONE,"{""text"": ""click on blue image to the left of the profile"", ""labels"": {""intent"": ""click"", ""target_type"": ""image"", ""attribute"": ""blue"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",val
remove yellow text next to the cart,장바구니 옆에 노란색 텍스트 삭제,delete,text,yellow,next_to,cart,NONE,"{""text"": ""remove yellow text next to the cart"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
access final hyperlink left of the last item,마지막 항목 좌측에 마지막 링크 열기,open,link,NONE,left_of,last item,last,"{""text"": ""access final hyperlink left of the last item"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""last item"", ""position"": ""last""}}",train
tap on yellow tab,노란색 탭 탭,tap,tab,yellow,NONE,NONE,NONE,"{""text"": ""tap on yellow tab"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""yellow"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
launch the last menu to the right of the menu,메뉴 오른쪽에 마지막 메뉴 실행,open,menu,NONE,right_of,menu,last,"{""text"": ""launch the last menu to the right of the menu"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""menu"", ""position"": ""last""}}",train
tap button to the right of the last item,마지막 항목 오른쪽에 버튼 탭,tap,button,NONE,right_of,last item,NONE,"{""text"": ""tap button to the right of the last item"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
tap on label on top of the cart,장바구니 상단에 텍스트 클릭,click,text,NONE,above,cart,NONE,"{""text"": ""tap on label on top of the cart"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
copy the 2nd text to the right of the login,로그인 오른쪽에 2번째 텍스트 복사,copy,text,NONE,right_of,login,2nd,"{""text"": ""copy the 2nd text to the right of the login"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""login"", ""position"": ""2nd""}}",train
copy red text to the right of the checkout,결제 오른쪽에 빨간색 텍스트 복사,copy,text,red,right_of,checkout,NONE,"{""text"": ""copy red text to the right of the checkout"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",val
scroll to orange text field on the left of the login,login 왼편에 orange text,scroll,text,orange,left_of,login,NONE,"{""text"": ""scroll to orange text field on the left of the login"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
long-press the 1st text to the left of the last item,마지막 항목 왼쪽에 1번째 텍스트 long-press,long-press,text,NONE,left_of,last item,1st,"{""text"": ""long-press the 1st text to the left of the last item"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""last item"", ""position"": ""1st""}}",train
click on icon above the search,검색 위에 아이콘 클릭,click,icon,NONE,above,search,NONE,"{""text"": ""click on icon above the search"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
press and hold yellow image,노란색 이미지 길게 누르기,long-press,image,yellow,NONE,NONE,NONE,"{""text"": ""press and hold yellow image"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""yellow"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
launch the 3rd link,3번째 링크 실행,open,link,NONE,NONE,NONE,3rd,"{""text"": ""launch the 3rd link"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",test
press and hold the 3rd icon above the cart,장바구니 위에 3번째 아이콘 길게 누르기,long-press,icon,NONE,above,cart,3rd,"{""text"": ""press and hold the 3rd icon above the cart"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""3rd""}}",train
long-press 3rd orange btn under the cart,장바구니 하단에 3번째 주황색 버튼 길게 누르기,long-press,button,orange,below,cart,3rd,"{""text"": ""long-press 3rd orange btn under the cart"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""cart"", ""position"": ""3rd""}}",train
trash text,텍스트 삭제,delete,text,NONE,NONE,NONE,NONE,"{""text"": ""trash text"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
paste the 3rd black text,3번째 검정색 텍스트 붙여넣기,paste,text,black,NONE,NONE,3rd,"{""text"": ""paste the 3rd black text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""black"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
paste black text below the first email,첫 번째 이메일 아래에 검정색 텍스트 붙여넣기,paste,text,black,below,first email,NONE,"{""text"": ""paste black text below the first email"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""black"", ""spatial_relation"": ""below"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
scroll to the last text,스크롤하여 마지막 텍스트 이동,scroll,text,NONE,NONE,NONE,last,"{""text"": ""scroll to the last text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
tap on blue slider over the menu,menu 위쪽에 blue switch,tap,switch,blue,above,menu,NONE,"{""text"": ""tap on blue slider over the menu"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""blue"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",train
touch symbol under the cart,장바구니 하단에 아이콘 탭,tap,icon,NONE,below,cart,NONE,"{""text"": ""touch symbol under the cart"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
press and hold the 1st icon below the wi-fi,Wi-Fi 아래에 1번째 아이콘 길게 누르기,long-press,icon,NONE,below,wi-fi,1st,"{""text"": ""press and hold the 1st icon below the wi-fi"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""1st""}}",train
open pink link,분홍색 링크 열기,open,link,pink,NONE,NONE,NONE,"{""text"": ""open pink link"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""pink"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy text above the menu,메뉴 위에 텍스트 복사,copy,text,NONE,above,menu,NONE,"{""text"": ""copy text above the menu"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",train
tap icon to the left of the address,주소 왼쪽에 아이콘 탭,tap,icon,NONE,left_of,address,NONE,"{""text"": ""tap icon to the left of the address"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
select purple checkbox to the left of the settings,설정 왼쪽에 보라색 체크박스 선택,click,checkbox,purple,left_of,settings,NONE,"{""text"": ""select purple checkbox to the left of the settings"", ""labels"": {""intent"": ""click"", ""target_type"": ""checkbox"", ""attribute"": ""purple"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
tap on the 1st green icon below the help,도움말 아래에 1번째 녹색 아이콘 탭,tap,icon,green,below,help,1st,"{""text"": ""tap on the 1st green icon below the help"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""green"", ""spatial_relation"": ""below"", ""spatial_reference"": ""help"", ""position"": ""1st""}}",val
tap on tab,탭 탭,tap,tab,NONE,NONE,NONE,NONE,"{""text"": ""tap on tab"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
paste white text below the home,홈 아래에 흰색 텍스트 붙여넣기,paste,text,white,below,home,NONE,"{""text"": ""paste white text below the home"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""white"", ""spatial_relation"": ""below"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
press and hold the 1st orange text,1번째 주황색 텍스트 길게 누르기,long-press,text,orange,NONE,NONE,1st,"{""text"": ""press and hold the 1st orange text"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""1st""}}",train
long-press blue button,파란색 버튼 long-press,long-press,button,blue,NONE,NONE,NONE,"{""text"": ""long-press blue button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""blue"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
press and hold the 2nd pink button next to the menu,메뉴 옆에 2번째 분홍색 버튼 길게 누르기,long-press,button,pink,next_to,menu,2nd,"{""text"": ""press and hold the 2nd pink button next to the menu"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""pink"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""menu"", ""position"": ""2nd""}}",train
scroll to the 1st tab,스크롤하여 1번째 탭 이동,scroll,tab,NONE,NONE,NONE,1st,"{""text"": ""scroll to the 1st tab"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""1st""}}",train
paste pink text,분홍색 텍스트 붙여넣기,paste,text,pink,NONE,NONE,NONE,"{""text"": ""paste pink text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
delete text,텍스트 삭제,delete,text,NONE,NONE,NONE,NONE,"{""text"": ""delete text"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
press and hold text to the right of the checkout,결제 오른쪽에 텍스트 길게 누르기,long-press,text,NONE,right_of,checkout,NONE,"{""text"": ""press and hold text to the right of the checkout"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",val
