command,intent,target,attribute,label,index,relation,reference
can you drag chart,drag,chart,italic,,,second,
check radio_button,check,radio_button,,warning,13,second_row,
check graph,check,graph,underlined,,27,first_row,import button
check the slider,check,slider,,,,last,add button
login tab,login,tab,active,remove,,inside,
drag message,drag,message,green,email,76,above,
login the password,login,password,,password,73,third,
i think delete the dialog,delete,dialog,info,ok,,third,
please unpin icon,unpin,icon,,,93,third,
accept radio_button,accept,radio_button,,,,bottom_right,
삭제 password,delete,password,,error,68,below,
drag notification,drag,notification,,logout,,third,export button
check image,check,image,,password,,behind,
like please close card,close,card,disabled,cancel,32,bottom_right,remove button
actually accept on menu,accept,menu,,save,93,first_row,
uh leaf dropdown,delete,dropdown,,address,60,inside,sort button
close password,close,password,yellow,search,,left,
please close popup,close,popup,secondary,,49,bottom_left,
지우세요 slider,delete,slider,,,74,left_edge,
제출 radio_button,submit,radio_button,,,87,between,chart view
accept on chart,accept,chart,warning,login,40,second_row,
close calendar,close,calendar,expanded,search,33,center_right,main content
long_press the passwcrd,long_press,password,primary,,78,last,map view
unpin the card,unpin,card,focused,search,5,under,
long_press card,long_press,card,secondary,,7,second,
accept card,accept,card,green,,,next_to,
check switch,check,switch,blue,address,75,left,table view
please launch gallery,launch,gallery,red,,,left,card list
login the search_box,login,search_box,bold,,73,center,share button
delete chart,delete,chart,,error,,between,chart view
long_pres5 card,long_press,card,light,,,left_edge,sort button
unpin graph,unpin,graph,large,upload,51,in_front_of,
login graph,login,graph,,share,,bottom_right,
close search_box,close,search_box,yellow,,2,bottom_left,save button
login phone_number,login,phone_number,,,18,above,import button
please close lin5,close,link,focused,cancel,36,second,
delete graph,delete,graph,,search,,first_column,video player
login document,login,document,bold,import,62,top_right,
please unpin radio_button,unpin,radio_button,warning,add,45,lower_center,
accept cahd,accept,card,green,back,71,second_row,
unpin the file,unpin,file,highlighted,loading,84,top_right,
check camera,check,camera,,loading,3,below,
unpin dropdown,unpin,dropdown,bold,,73,second,back button
login phone_number,login,phone_number,collapsed,,98,left_edge,
close phone_number,close,phone_number,light,address,,bottom_left,download button
login tab,login,tab,expanded,,14,third,
long_press the checkbox,long_press,checkbox,active,,21,center_right,header
launch dialog,launch,dialog,danger,,47,nearest,
drag the chart,drag,chart,green,login,13,in_front_of,
unpin the dropdown,unpin,dropdown,yellow,password,28,bottom_left,
drag switch,drag,switch,,,12,farthest,
check 아이콘,check,icon,strikethrough,,55,before,
delete image,delete,image,danger,,,behind,top navigation
accept 체크박스,accept,checkbox,,,84,last,
accept text,accept,text,italic,,68,second,
check thc slider,check,slider,expanded,,3,center,
accept 입력,accept,input,disabled,email,32,center_right,
maybe login the dialog,login,dialog,,import,,center,calendar view
login the ico3,login,icon,green,login,62,under,
close phone_number,close,phone_number,,register,42,outside,
unpin the slider,unpin,slider,,error,82,nearest,
check calendar,check,calendar,disabled,,47,center,edit button
long_press switch,long_press,switch,underlined,sort,8,left,
login text,login,text,secondary,upload,55,left_edge,footer
check the menu,check,menu,active,,62,outside,
p2ease cl2se dropdown,close,dropdown,bold,logout,,farthest,
drag card,drag,card,collapsed,,74,third,image gallery
login audio,login,audio,disabled,,,center,
long_press dropdown,long_press,dropdown,light,,,under,
launch on link,launch,link,,cancel,73,in_front_of,phone field
unpin card,unpin,card,small,,30,behind,
accept camera,accept,camera,secondary,,59,top_right,audio player
login text,login,text,small,,76,above,
actually close on search_box,close,search_box,light,profile,86,in_front_of,submit button
long_press calendar,long_press,calendar,small,previous,94,above,export button
accept link,accept,link,warning,logout,63,in_front_of,delete button
check calendar,check,calendar,small,loading,65,left,cancel button
unpin audio,unpin,audio,,address,,between,
check camera,check,camera,,logout,59,bottom_right,
close phone_number,close,phone_number,success,,41,top_right,
unpin slider,unpin,slider,green,sort,53,farthest,
close popup,close,popup,,,,first_column,delete button
can you drag phone_number,drag,phone_number,yellow,,71,next_to,email field
제출 search_box,submit,search_box,italic,success,71,below,dialog box
unpin switch,unpin,switch,small,,,third,import button
close gallery,close,gallery,yellow,,8,next_to,
accept file,accept,file,green,,54,before,video player
just delete table,delete,table,,refresh,,below,
close audio,close,audio,,back,73,first_column,phone field
check the passw0rd,check,password,yellow,message,85,second_row,
accept 입력,accept,input,,,,nearest,
close the camera,close,camera,large,,64,outside,
close the phone_number,close,phone_number,expanded,,,center_right,
check dropdown,check,dropdown,,,94,nearest,
unpin file,unpin,file,,,79,second_row,
unpin the slider,unpin,slider,active,filter,,under,
can you launch table,launch,table,large,,24,next_to,
please check search_box,check,search_box,strikethrough,previous,92,after,
long_press image,long_press,image,,password,29,second_last,
launch on phone_number,launch,phone_number,,upload,,inside,
unpin password,unpin,password,,upload,4,above,
unpin progress_bar,unpin,progress_bar,,,,above,
launch on text,launch,text,primary,login,13,outside,calendar view
can you login progress_bar,login,progress_bar,green,,20,second,
like can you login search_box,login,search_box,bold,,,last,
check document,check,document,success,refresh,67,below,cart icon
drag popup,drag,popup,,profile,,after,
can you unpin table,unpin,table,red,confirm,46,behind,
drag link,drag,link,,,,under,
login audio,login,audio,italic,,,behind,
unpin icon,unpin,icon,light,,,bottom_left,cart icon
can you launch phone_number,launch,phone_number,,,30,center,
unpin 체크박스,unpin,checkbox,small,loading,64,below,
unpin graph,unpin,graph,,,25,below,delete button
dr@g graph,drag,graph,green,success,,third,
delete on message,delete,message,,,25,under,
long_press password,long_press,password,blue,share,42,bottom_right,upload button
전송 document,submit,document,highlighted,save,,behind,filter button
unpin phone_number,unpin,phone_number,,remove,87,between,
unpin file,unpin,file,warning,,73,outside,
launch dialog,launch,dialog,,sort,12,before,
drag the chart,drag,chart,info,retry,,bottom_right,
you know check on notification,check,notification,,,46,left,
login the blue progress_bar,login,progress_bar,blue,search,28,last,
i think check checkbox,check,checkbox,,,,top_right,audio player
launch file,launch,file,,,,top_right,save button
check text,check,text,underlined,,71,outside,home button
long_press text,long_press,text,focused,next,,under,header
please bogin gbllery,login,gallery,,,64,second_row,
unpin slider,unpin,slider,red,phone,,between,
unpin file,unpin,file,,,,second_last,sort button
launch audio,launch,audio,,,16,below,
delete the icon,delete,icon,success,,,left,
accept notification,accept,notification,,filter,63,last,
delete the audio,delete,audio,,share,13,before,
accept calendar,accept,calendar,warning,,,left,
accept dropdown,accept,dropdown,primary,confirm,78,next_to,
login slider,login,slider,light,previous,93,right_edge,map view
check card,check,card,,ok,81,top_right,
check progress_bar,check,progress_bar,small,,68,second,search bar
long_press document,long_press,document,,,51,next_to,
long_press table,long_press,table,,,83,first_column,top navigation
drag dropdown,drag,dropdown,,confirm,,outside,
lauych gallevy,launch,gallery,,,34,third,
like login on table,login,table,,,70,above,
close chart,close,chart,,loading,10,before,popup
login slider,login,slider,,share,,first_row,
long_press 아이콘,long_press,icon,active,,84,second_row,
check notification,check,notification,,,50,before,
accept chart,accept,chart,green,email,18,inside,
unpin image,unpin,image,info,,,above,
삭제 dropdown,delete,dropdown,small,success,,second,share button
close graph,close,graph,,cancel,45,bottom_right,
please drag message,drag,message,red,email,19,last_column,
launch the popup,launch,popup,disabled,,16,above,card list
제출 camera,submit,camera,expanded,,23,second_last,
login search_box,login,search_box,expanded,submit,98,center_right,
can you check radio_button,check,radio_button,warning,error,98,in_front_of,add button
maybe can you close password,close,password,,,79,second,
login image,login,image,strikethrough,cancel,70,outside,
login popup,login,popup,,,47,first_row,
login tab,login,tab,,address,22,in_front_of,header
close message,close,message,,download,75,left_edge,sort button
plefse login search_box,login,search_box,,previous,33,left_edge,password field
unpin gallery,unpin,gallery,blue,retry,78,left_edge,
전송 notification,submit,notification,dark,edit,8,left,
unpin the dialog,unpin,dialog,,submit,,second,
check phone_number,check,phone_number,,,18,outside,
long_press the radio_button,long_press,radio_button,yellow,save,6,right_edge,
accept file,accept,file,disabled,info,20,outside,dialog box
삭제 chart,delete,chart,active,,86,in_front_of,
please c1o5e message,close,message,,,34,under,image gallery
please long_press notification,long_press,notification,bold,notification,86,between,filter button
check slider,check,slider,,,78,second_row,
unpin progress_bar,unpin,progress_bar,,,48,behind,
can you accept message,accept,message,disabled,,,nearest,
long_press menu,long_press,menu,light,,60,left_edge,card list
please long_press search_box,long_press,search_box,,previous,66,last_column,cart icon
launch menu,launch,menu,,,86,second,
drag table,drag,table,small,,12,second,
long_press dialog,long_press,dialog,,,,last_column,
삭제해 chart,delete,chart,underlined,confirm,,top_right,
accept notification,accept,notification,primary,,44,lower_center,
close the checkbox,close,checkbox,,,35,left,export button
1ogin ch@rt,login,chart,light,phone,67,top_right,
제출 file,submit,file,,warning,89,third,
please launch popup,launch,popup,,next,37,last,calendar view
delete the card,delete,card,highlighted,success,55,left,modal
check link,check,link,highlighted,,43,above,map view
launch file,launch,file,primary,,,center,
unpin the switch,unpin,switch,,alert,63,behind,
check audio,check,audio,underlined,,92,lower_center,
launch audio,launch,audio,underlined,,23,second_row,header
close the search_box,close,search_box,,,30,farthest,
check checkbox,check,checkbox,info,loading,44,in_front_of,phone field
close search_box,close,search_box,underlined,,,lower_center,notification panel
